method,model_group,task,meta_da,da,M_ratio,M_diff,logL,n_trials
Self-report,Closed-source,Grid,1.0281659549480915,2.6353123697765533,0.39014955750208435,-1.6071464148284618,-2269.65757350546,2688
Self-report,Closed-source,Gabor,0.1458442934386846,-1.3227121357627338,-0.11026155237820086,1.4685564292014184,-2239.754301874224,2688
Self-report,Closed-source,Brightness,-0.5318763352459562,-0.7132837196326761,0.7456728936976995,0.18140738438671988,-4050.1279456073853,2688
