method,model_group,task,meta_da,da,M_ratio,M_diff,logL,n_trials
Self-report,Open-source,Grid,0.22361386721672089,3.17758164787553,0.07037234349783736,-2.953967780658809,-4049.2716331890542,5376
Self-report,Open-source,Gabor,-0.21668501998156417,-0.7094684246222663,0.30541883537231573,0.49278340464070214,-5680.835977036866,5376
Self-report,Open-source,Brightness,-0.4097863405190737,-0.4431482823618952,0.9247160754747626,0.033361941842821485,-3379.510431189946,5376
Logits-based,Open-source,Grid,2.8351549901932835,3.17758164787553,0.8922367084064743,-0.34242665768224656,-4106.427757249645,5376
Logits-based,Open-source,Gabor,-0.9816442958495541,-0.7094684246222663,1.383633523045369,-0.2721758712272878,-7912.009147854644,5376
Logits-based,Open-source,Brightness,-0.15244801375930575,-0.4431482823618952,0.34401129334584607,0.29070026860258946,-8348.578513875302,5376
Self-report,Closed-source,Grid,1.0281659549480915,2.6353123697765533,0.39014955750208435,-1.6071464148284618,-2269.65757350546,2688
Self-report,Closed-source,Gabor,0.1458442934386846,-1.3227121357627338,-0.11026155237820086,1.4685564292014184,-2239.754301874224,2688
Self-report,Closed-source,Brightness,-0.5318763352459562,-0.7132837196326761,0.7456728936976995,0.18140738438671988,-4050.1279456073853,2688
