model,meta_da,da,M_ratio,M_diff,logL,n_trials
claude-sonnet-4-5,0.6146698457290505,0.29463515944146956,2.086206706946518,0.3200346862875809,-3787.278756570317,2688
gemma3_27b,0.9556002654282907,0.7316221191452726,1.3061391125581105,0.22397814628301804,-724.7896253022012,2688
gpt-4o,0.6514360832630647,0.6948033840744,0.9375833483178724,-0.04336730081133533,-2106.1162646033094,2688
gpt-5,0.953616460622247,0.45721061826955395,2.0857268456088898,0.4964058423526931,-3317.9235699527517,2688
kimi-vl-a3b,-1.3747058907873524,1.0421029555935264,-1.3191651394985182,-2.416808846380879,-1824.5964099853422,2688
ovis2_34b,0.5905791207232043,0.3931103854512636,1.5023238830112824,0.1974687352719407,-2651.6784723564947,2688
qwen2.5-vl-32b,1.1843930084530012,0.442808237634033,2.6747311991785137,0.7415847708189682,-708.6043901761286,2688
qwen2.5-vl-72b,0.3431776656326105,0.2341419047547158,1.46568238603901,0.10903576087789468,-223.31805880114334,2688
qwen2.5-vl-7b,0.3401616869639248,0.27538384546118017,1.2352274564045773,0.06477784150274463,-840.8977038770815,2688
