model,meta_da,da,M_ratio,M_diff,logL,n_trials
gemma3_27b,1.3984417888841798,0.7316221191452726,1.9114263392117343,0.6668196697389072,-1473.366482165387,2688
kimi-vl-a3b,0.35770637232150604,1.0421029555935264,0.34325434967965857,-0.6843965832720204,-4158.06508835628,2688
ovis2_34b,0.19734135076007595,0.3931103854512636,0.5019998404100713,-0.19576903469118764,-3386.3989343089415,2688
qwen2.5-vl-32b,1.3334225339745598,0.442808237634033,3.011286648819283,0.8906142963405268,-3943.0179863148715,2688
qwen2.5-vl-72b,0.588167228243354,0.2341419047547158,2.5120118026694573,0.3540253234886382,-3753.315486918257,2688
qwen2.5-vl-7b,1.1625456384533253,0.27538384546118017,4.22154624395789,0.8871617929921451,-3826.8471964839896,2688
