method,model_group,meta_da,da,M_ratio,M_diff,logL,n_trials
Self-report,Open-source,0.1991938752912136,0.45640547493134925,0.43644059116770145,-0.2572115996401356,-14504.751425373204,16128
Logits-based,Open-source,0.9794805416106274,0.45640547493134925,2.146075354941693,0.5230750666792781,-22621.20469184517,16128
Self-report,Closed-source,0.819292137139526,0.4607538675075731,1.77815574630214,0.3585382696319529,-10289.44702769376,8064
