model,n_samples,mean_confidence,mean_accuracy,ECE_absolute,ECE_squared,ROC_AUC,Selective_AUC
claude-sonnet-4-5,2688,3.675595238095238,0.5554315476190477,0.3244791666666667,0.11312472184441226,0.5483026788892097,0.5840466356419698
gemma3_27b,2688,4.831845238095238,0.5691964285714286,0.403125,0.16634252409507025,0.5265010667479427,0.4478267376158287
gpt-4o,2688,4.614211309523809,0.5721726190476191,0.35066964285714286,0.125685899205104,0.5810849776672132,0.6445133125380341
gpt-5,2688,3.7864583333333335,0.5803571428571429,0.2513392857142857,0.0853468767265057,0.565697456355701,0.6616399484751534
kimi-vl-a3b,2688,4.4773065476190474,0.5881696428571429,0.30729166666666674,0.1186820858941074,0.4486437579956655,0.5421273783554477
ovis2_34b,2688,4.322544642857143,0.5264136904761905,0.3421130952380953,0.12421076912902185,0.6673818003158838,0.547583004857592
qwen2.5-vl-32b,2688,4.920758928571429,0.5718005952380952,0.4123511904761905,0.17020221497334176,0.5226345566950635,0.40100628481176104
qwen2.5-vl-72b,2688,4.980282738095238,0.5677083333333334,0.4283482142857143,0.18380861946108135,0.5053518699399733,0.4047216547319389
qwen2.5-vl-7b,2688,3.1279761904761907,0.5706845238095238,0.07083333333333343,0.023734092588798213,0.5095298028059536,0.481076649189189
