task,n_samples,mean_confidence,mean_accuracy,ECE_absolute,ECE_squared,ROC_AUC,Selective_AUC
Brightness,8064,4.170014880952381,0.4290674603174603,0.4551339285714286,0.24736772120282027,0.4457321291362625,0.39055683819451487
Gabor,8064,4.159598214285714,0.34362599206349204,0.4894345238095238,0.2683148835521192,0.4831305218286369,0.31135148794882045
Grid,8064,4.5827132936507935,0.9279513888888888,0.10540674603174605,0.01911044287939786,0.554064255341367,0.9457914850485543
