task,model,n_samples,mean_confidence,mean_accuracy,ECE_absolute,ECE_squared,ROC_AUC,Selective_AUC
Brightness,claude-sonnet-4-5,896,2.4575892857142856,0.546875,0.3366071428571429,0.1377379904135125,0.41792248919272146,0.45471924289792065
Brightness,gemma3_27b,896,5.0,0.3359375,0.6640625,0.44097900390625,0.5,0.3384895097922198
Brightness,gpt-4o,896,4.4140625,0.3872767857142857,0.4959821428571428,0.2670279781067954,0.5343249187676835,0.4047546355894571
Brightness,gpt-5,896,3.158482142857143,0.5658482142857143,0.15825892857142856,0.05875945387247934,0.46903251649148425,0.49874680996142107
Brightness,kimi-vl-a3b,896,4.996651785714286,0.3470982142857143,0.6535714285714286,0.4278467445208767,0.49517684887459806,0.37792107685269083
Brightness,ovis2_34b,896,4.348214285714286,0.3236607142857143,0.5580357142857143,0.34477517915633293,0.5239729145328326,0.3431629761562237
Brightness,qwen2.5-vl-32b,896,4.931919642857143,0.5714285714285714,0.4154017857142857,0.18496651457039084,0.4677734375,0.5539540505578645
Brightness,qwen2.5-vl-72b,896,4.991071428571429,0.3939732142857143,0.6042410714285714,0.36539713124599615,0.5013460003443256,0.40012094930733966
Brightness,qwen2.5-vl-7b,896,3.232142857142857,0.38950892857142855,0.2569196428571429,0.09919092626123877,0.4636045530976465,0.3536519628478112
Gabor,claude-sonnet-4-5,896,4.03125,0.2265625,0.5796875,0.3821353657531147,0.3830386909204643,0.12197644312504329
Gabor,gemma3_27b,896,4.517857142857143,0.4341517857142857,0.4801339285714286,0.251949509439711,0.5387353401986584,0.45461810783453305
Gabor,gpt-4o,896,4.520089285714286,0.46651785714285715,0.43839285714285725,0.20864932597747188,0.47785830113511246,0.45152114643496155
Gabor,gpt-5,896,3.9620535714285716,0.21428571428571427,0.5821428571428572,0.35208274002966755,0.4469105113636364,0.11092978825221442
Gabor,kimi-vl-a3b,896,3.950892857142857,0.49888392857142855,0.2912946428571429,0.08632000811688315,0.5021225392744503,0.500149174822318
Gabor,ovis2_34b,896,3.6685267857142856,0.3125,0.4212053571428572,0.20660231832253861,0.4422541743970315,0.23900123268553178
Gabor,qwen2.5-vl-32b,896,4.830357142857143,0.20089285714285715,0.7651785714285715,0.5980710091761663,0.45667287399130974,0.13709604312369184
Gabor,qwen2.5-vl-72b,896,4.949776785714286,0.359375,0.6305803571428571,0.40171757437766537,0.49756800917609884,0.31800263101372744
Gabor,qwen2.5-vl-7b,896,3.005580357142857,0.3794642857142857,0.2216517857142858,0.050860812270036825,0.4973021582733813,0.3405746006502023
Grid,claude-sonnet-4-5,896,4.537946428571429,0.8928571428571429,0.09107142857142861,0.01713401980162971,0.6500325520833333,0.9444064537806801
Grid,gemma3_27b,896,4.977678571428571,0.9375,0.06696428571428568,0.007146869983948633,0.49642857142857144,0.9733158324627704
Grid,gpt-4o,896,4.908482142857143,0.8627232142857143,0.11897321428571432,0.014883140794975191,0.5489698040576784,0.9102592303081916
Grid,gpt-5,896,4.238839285714286,0.9609375,0.11316964285714283,0.03156803662335701,0.929367844698855,0.9949551790512337
Grid,kimi-vl-a3b,896,4.484375,0.9185267857142857,0.09308035714285709,0.00901559725796476,0.5250503503720102,0.9402499909238787
Grid,ovis2_34b,896,4.950892857142857,0.9430803571428571,0.05334821428571432,0.0028514981937077044,0.5363383223111731,0.9680764294980289
Grid,qwen2.5-vl-32b,896,5.0,0.9430803571428571,0.056919642857142905,0.0032398457429846992,0.5,0.9711669407445567
Grid,qwen2.5-vl-72b,896,5.0,0.9497767857142857,0.0502232142857143,0.002522371253188777,0.5,0.9787998224432384
Grid,qwen2.5-vl-7b,896,3.146205357142857,0.9430803571428571,0.3138392857142856,0.10155817972350226,0.5715976331360947,0.9770861388454857
