Task,Method,slope,intercept,r_value
Grid,Self-report,-0.01616726773285345,1.0026989394953112,-0.8098911536885015
Gabor,Self-report,-0.010049094772780065,0.4018704949037156,-0.31854128420104055
Brightness,Self-report,0.02476976491792348,0.3057385183061002,0.7776179181048194
Grid,Logits-based,0.11440204482626413,0.42353630363259703,0.9811580477827064
Gabor,Logits-based,-0.09707795367539444,0.6856295157236223,-0.8806392041868043
Brightness,Logits-based,0.0027470367458142632,0.38298371108729123,0.18574418672275864
