method,task,ECE,AUC,n_samples
Self-report,Grid,0.10572916666666665,0.5194600559774152,5376
Self-report,Gabor,0.4683407738095239,0.47410280907841734,5376
Self-report,Brightness,0.5250744047619048,0.4984226228443527,5376
Logits-based,Grid,0.04750744047619049,0.8368623574595871,5376
Logits-based,Gabor,0.4299107142857143,0.3381693593551175,5376
Logits-based,Brightness,0.3174107142857143,0.5081730490449627,5376
