model,size,architecture,samples,spearman_rho,spearman_p,pearson_r,pearson_p,r_squared
gemma3_27b,Unknown,Google,2688,0.1096159473840372,1.2145365836320321e-08,0.08986665914744246,3.0637775489761136e-06,0.008076016426322604
kimi-vl-a3b,Unknown,Moonshot,2688,0.0897072279461152,3.1900961647321603e-06,0.07828474068635752,4.842661522283378e-05,0.0061285006243302406
ovis2_34b,Unknown,OpenGVLab,2688,0.44490204366169556,7.759242680842713e-131,0.4344960920642056,3.288117348540595e-124,0.1887868540190666
qwen2.5-vl-32b,Unknown,Alibaba,2688,0.23116042118803126,6.174104093037465e-34,0.22727651555302766,7.833064624157906e-33,0.05165461452192562
qwen2.5-vl-72b,Unknown,Alibaba,2688,0.14446837951340288,5.2268052558609905e-14,0.15724523679335206,2.4080319153182367e-16,0.02472606449419736
qwen2.5-vl-7b,Unknown,Alibaba,2688,0.24317170672777605,1.7686594217892013e-37,0.1920309420069015,9.66331116861766e-24,0.036875882688057963
