model,self_report_count,self_report_percentage,logits_count,logits_percentage
PE,0,0.0,2,11.11111111111111
WEV,0,0.0,0,0.0
LogN,0,0.0,1,5.555555555555555
SDT,20,74.07407407407408,12,66.66666666666666
BCH,7,25.925925925925924,3,16.666666666666664
